#{"t_start": 1775311724.411631, "env_id": "None"}
r,l,t
25.607895,18,21.598905
9.076,2,21.606637
24.345,11,21.632548
-7.03,1,21.63512
22.813684,9,21.655901
46.334167,7,21.671985
22.8355,14,21.705379
10.316667,5,21.716393
3.885333,4,21.726849
1.36,7,21.743374
-7.36,2,21.748339
-7.03,1,21.751008
40.784821,10,21.77403
23.344,7,21.790076
17.024286,7,21.808709
3.155556,18,21.850057
39.3125,8,21.868241
7.568571,7,21.884392
15.54,7,21.900465
24.126667,8,21.920412
2.285,12,21.948999
-6.150263,20,21.994126
1.668895,9,22.019174
-7.03,1,22.022227
34.396,14,22.054663
19.475714,10,22.078235
23.224,13,22.108502
25.366667,8,22.130406
22.353333,4,22.139963
35.475,12,22.166356
3.294286,9,22.187372
30.61,7,22.204097
39.570714,12,22.235574
17.702143,6,22.250284
6.320105,11,22.275164
34.548889,8,22.292993
32.71,7,22.309705
23.749286,14,22.34369
13.599737,8,22.361544
26.865,5,22.37308
-7.03,1,22.375924
19.535,5,22.387683
26.964889,10,22.409979
26.101692,16,22.448937
11.394737,7,22.464824
-7.69,3,22.47178
26.073333,4,22.4811
45.021429,6,22.495955
20.644,10,22.51969
21.166333,8,22.542223
35.2,6,22.55601
43.202857,12,22.58338
30.44875,6,22.598281
35.82,11,22.623906
-7.03,1,22.628877
45.769286,13,22.659827
48.696333,7,22.676318
1.887857,4,22.685848
8.741333,4,22.695722
19.919333,10,22.71851
25.305,9,22.742908
9.82,2,22.74826
32.936667,11,22.773914
39.776,10,22.796962
-24.767895,2,22.801811
41.99,16,22.841513
17.314286,4,22.851308
-25.882895,4,22.860405
12.6115,5,22.872017
4.004211,20,22.918907
26.589474,10,22.945859
38.812357,8,22.964615
40.176333,8,22.983252
30.070526,9,23.00443
13.84,2,23.009439
7.660833,2,23.01626
28.814263,17,23.057856
31.534821,7,23.074491
33.149167,15,23.10867
45.577143,13,23.140746
32.034211,9,23.162016
36.035286,15,23.19716
19.758214,7,23.213065
8.138571,8,23.231968
36.841786,17,23.273961
15.944211,20,23.32014
27.886429,9,23.341489
19.875667,9,23.365109
32.033684,11,23.390026
17.162,9,23.41041
-7.03,1,23.412984
26.05,5,23.42475
28.093889,5,23.436446
-8.02,4,23.448473
-7.69,3,23.456079
14.802667,6,23.470231
7.756667,8,23.487213
24.064286,13,23.516209
3.888421,17,23.55836
7.857333,8,23.577627
-7.03,1,23.580224
20.19,8,23.598019
5.446667,14,23.630051
-36.68,20,23.678004
1.312303,15,23.712106
16.106,8,23.729963
-7.03,1,23.732555
-22.61,2,23.737614
37.681964,10,23.762514
23.442143,17,23.801579
35.790357,11,23.828493
21.507368,19,24.588092
41.878268,6,24.602443
27.721607,10,24.626057
23.580833,13,24.655422
48.801333,7,24.671675
18.05,9,24.693937
23.1525,9,24.714106
30.431,12,24.742937
34.318036,17,24.783533
8.659286,4,24.793191
51.9075,8,24.811832
40.663694,10,24.836188
7.336429,8,24.854174
39.846333,5,24.866226
10.186667,2,24.871468
10.15,7,24.890048
35.946,4,24.899913
-4.657333,8,24.918252
37.067333,5,24.931047
39.642415,10,24.953872
33.858117,9,24.974955
9.697321,5,24.989499
3.085263,4,24.998548
34.426,8,25.01672
32.852667,9,25.040999
34.62,10,25.062496
3.603333,5,25.073341
26.80375,6,25.089023
20.196316,17,25.127186
27.88,14,25.160538
30.266,11,25.185965
35.68,9,25.21113
28.944286,13,25.241022
15.654,5,25.252388
32.143833,7,25.268517
9.071333,3,25.275523
21.738571,5,25.287955
38.319286,9,25.31041
39.115333,11,25.336222
-4.613333,4,25.345738
13.966316,11,25.370363
20.566667,11,25.39832
23.534,9,25.418756
15.02,14,25.451457
19.673333,3,25.45938
33.517222,7,25.47578
47.6795,10,25.500865
8.1865,16,25.537479
-30.69,9,25.558704
33.02,16,25.598953
20.27,6,25.612729
5.94,2,25.617798
-5.985579,5,25.629734
25.51875,7,25.647321
20.21875,5,25.658709
22.2675,9,25.678646
4.123571,2,25.683609
4.118889,13,25.716239
27.817778,12,25.74384
20.322,15,25.778827
27.765893,12,25.809885
25.1055,7,25.825832
15.752,4,25.834972
34.400167,10,25.858825
32.785,8,25.877345
24.416,10,25.900861
24.368,10,25.926438
1.626513,16,25.964044
33.380833,8,25.982907
-7.03,1,25.985707
-54.9625,6,26.000436
24.372857,7,26.018074
41.840833,5,26.031259
16.869286,9,26.052729
-7.03,1,26.055251
10.842632,10,26.077073
27.534,9,26.097885
35.219167,10,26.12291
3.705789,16,26.161134
-1.541964,20,26.206131
39.1555,12,26.23414
21.363,8,26.251541
38.77,11,26.276026
2.801071,3,26.28311
29.307222,8,26.302003
37.667895,10,26.326402
14.095333,7,26.341495
9.071333,3,26.348728
45.929107,16,26.384625
27.223158,12,26.416344
2.653333,7,26.433941
46.507167,7,26.448674
34.214821,14,26.478603
-7.36,2,26.483034
40.8585,12,26.510301
19.342222,7,26.528242
39.932333,10,26.549015
32.1845,8,26.566211
39.021607,8,26.584118
24.055789,14,26.613492
9.539333,15,26.657107
7.816667,6,26.677941
21.036667,3,26.690527
35.514643,16,26.737012
34.636,7,26.753246
26.893214,5,26.76697
21.855,9,26.787501
8.83,5,26.80027
28.5,10,26.823279
37.3775,8,26.844727
17.565357,10,26.868165
17.719474,17,26.90538
35.06,20,26.955111
24.921111,13,26.984854
24.108214,15,27.726346
43.634333,7,27.742987
25.335,5,27.757068
9.136667,2,27.762295
16.035714,9,27.783874
25.243214,10,27.806485
16.887053,17,27.845081
31.617895,18,27.887521
28.588571,7,27.903784
2.773571,5,27.915255
39.54,12,27.942802
14.17,5,27.954534
6.133786,3,27.963962
22.4,13,27.99407
14.77,5,28.005675
31.67,5,28.017655
41.243833,10,28.042725
36.572167,7,28.058192
19.721684,6,28.074386
36.018571,6,28.089215
18.51,3,28.096764
6.938056,12,28.123508
9.418929,4,28.133385
41.972857,14,28.167506
22.302632,17,28.207452
39.411758,9,28.228063
-52.092667,9,28.249753
48.809553,8,28.270589
11.636,3,28.277837
31.43,10,28.301445
36.166667,4,28.31198
16.526,10,28.335097
34.4725,6,28.349714
13.235,20,28.397081
44.999911,6,28.411519
-7.03,1,28.414107
18.04,17,28.453056
40.270714,9,28.476507
35.225333,7,28.493664
18.271111,8,28.511795
-1.023732,5,28.523069
39.935348,12,28.550333
17.216667,10,28.575075
24.238571,5,28.586775
35.626,5,28.599098
35.835,8,28.616911
-7.36,2,28.621751
37.324,6,28.635826
37.082707,6,28.649583
26.264667,11,28.674738
21.058667,5,28.688416
19.8125,6,28.702846
19.215357,5,28.714045
30.807857,10,28.737032
23.7,10,28.759813
32.87,11,28.787617
48.2025,7,28.804506
30.147857,12,28.831769
42.402002,10,28.855254
9.837333,2,28.860288
41.890333,10,28.885632
2.35,4,28.896143
26.126,3,28.903634
24.464737,17,28.942658
19.823571,4,28.952512
-7.48,6,28.966455
-7.69,3,28.973892
15.38,4,28.983569
23.96,14,29.01751
-7.69,3,29.02446
23.766,5,29.037535
13.163571,3,29.04501
15.995,5,29.057143
45.054167,6,29.07104
17.124667,7,29.086775
40.284333,12,29.117213
10.8,20,29.162337
24.560714,12,29.190157
44.779107,14,29.222958
23.3635,9,29.243993
10.21,5,29.25614
36.627333,7,29.272325
45.705833,12,29.304972
20.945833,7,29.321213
39.162,7,29.337151
2.828056,20,29.382348
-7.36,2,29.387534
36.8925,17,29.427253
23.937778,8,29.445472
-56.326786,10,29.468443
21.693333,6,29.482403
35.034286,11,29.510332
19.540298,5,29.521918
9.484667,7,29.537628
39.890333,6,29.551573
25.465893,9,29.572307
42.509239,11,29.596174
21.906667,4,29.608359
-7.03,1,29.611381
-7.03,1,29.613945
47.420179,9,29.634123
48.876964,12,29.661474
23.243333,9,29.682025
42.520833,8,29.700248
9.177333,4,29.712627
33.531167,8,29.731051
28.692857,10,29.753909
33.788393,12,29.782301
15.1,4,29.791713
12.405714,5,29.803655
-66.373929,7,29.822284
41.35,10,29.8454
19.7,3,29.853059
17.116842,8,29.871751
7.506667,2,29.877068
42.488214,12,29.90486
16.64,12,29.934902
21.991579,18,29.975604
48.297143,10,29.998206
37.070333,6,30.01411
30.318421,16,30.05314
7.486667,7,30.069116
27.355714,6,30.083763
46.857679,17,30.124746
43.768667,7,30.140573
18.873929,9,30.854776
28.237895,11,30.879412
46.62813,9,30.9012
31.943929,9,30.921748
37.256494,14,30.956223
28.195,10,30.978128
33.735667,6,30.992238
-20.418222,16,31.027674
9.792,6,31.044917
30.275263,19,31.087194
41.0175,6,31.101745
4.744,20,31.148453
38.795167,8,31.165716
28.305278,7,31.181883
23.23,13,31.209147
47.964714,9,31.228248
49.6025,7,31.24645
21.170179,10,31.267805
44.387351,6,31.281637
37.501071,5,31.293239
5.21,7,31.309295
15.503158,10,31.332017
37.368214,11,31.360064
48.5975,8,31.377993
19.534,7,31.394319
34.15,5,31.406171
4.062011,20,31.453298
40.312143,11,31.478377
35.85,15,31.512367
37.221429,6,31.525696
-41.894286,11,31.553324
43.817167,9,31.574117
49.88125,6,31.588165
32.917143,11,31.614066
25.118,6,31.628281
9.892,2,31.633229
39.085,9,31.655583
16.85,5,31.667143
42.898889,9,31.687981
19.625,5,31.700059
25.938214,4,31.710344
4.1,20,31.758775
36.9,10,31.782458
30.75622,6,31.79652
-13.864444,14,31.827952
28.48,10,31.850899
18.836667,9,31.873059
35.03,12,31.900914
15.443333,3,31.908331
37.5425,7,31.92492
19.955,4,31.93455
30.605857,20,31.980959
24.018667,8,31.998969
37.576833,7,32.015325
18.176667,6,32.028984
25.882869,5,32.041594
14.17,5,32.054214
29.144,5,32.06777
22.624,5,32.078662
32.23625,7,32.094581
17.067143,11,32.120535
-9.305333,6,32.134902
37.860667,9,32.155663
12.723214,10,32.180689
