time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
35000,,,,,,0.012514605,0.2,340,0.1474609375,-1.768493164330721,0.0003,13.773643493652344,32.52432986497879,0.8364336490631104,-0.027857343369396402,50.136422599999996,5.5
35840,6.34,35,112,46.207466520000004,319,,,,,,,,,,,,
36864,6.1,36,115,44.25653311,318,0.012124929,0.2,350,0.1599609375,-1.6686161860823632,0.0003,16.700515747070312,56.89459317922592,0.7414380311965942,-0.027671468706103042,,
37888,6.18,37,118,45.32029589000002,318,0.009359585,0.2,360,0.084375,-1.6565546862781049,0.0003,32.12605667114258,43.25230840444565,0.7806212902069092,-0.020328937709564343,,
38912,6.14,38,122,46.437125179999995,318,0.011689493,0.2,370,0.12470703125,-1.5492690719664097,0.0003,29.883296966552734,36.564504611492154,0.8174806237220764,-0.02485883900662884,,
39936,5.74,39,125,47.96846674,318,0.009405816,0.2,380,0.1240234375,-1.4906104698777198,0.0003,24.293954849243164,33.204582422971725,0.8266698718070984,-0.02530658739269711,,
40000,,,,,,0.011087634,0.2,390,0.11572265625,-1.4387493394315243,0.0003,13.16256332397461,26.666757106781006,0.8625017404556274,-0.025057994975941255,51.53242830000001,5.5
40960,5.88,40,128,47.55700824,318,,,,,,,,,,,,
41984,5.71,41,131,49.74149715000001,318,0.01759268,0.2,400,0.135546875,-1.2896442353725432,0.0003,12.117295265197754,22.934550374746323,0.873934268951416,-0.02899833275587298,,
43008,5.91,42,135,49.20928338000001,318,0.011039177,0.2,410,0.11474609375,-1.241403703391552,0.0003,10.29289436340332,25.10624150633812,0.8659626841545105,-0.027686270757112653,,
44032,5.96,43,138,49.039849410000016,318,0.018017337,0.2,420,0.1650390625,-1.1943204194307326,0.0003,16.093286514282227,16.29555942416191,0.904887318611145,-0.0336751164868474,,
45000,,,,,,0.010014869,0.2,430,0.09921875,-1.1194833502173425,0.0003,46.73103713989258,43.319547986984254,0.8071515560150146,-0.025716860793181695,51.7862262,5.2
45056,5.84,44,141,50.22792577000001,318,,,,,,,,,,,,
46080,5.97,45,144,49.39775345,318,0.011917674,0.2,440,0.0830078125,-1.05020804181695,0.0003,3.1087241172790527,13.798021760582923,0.9289525151252747,-0.019340089167235418,,
47104,5.74,46,148,51.46567325000001,318,0.008751506,0.2,450,0.08759765625,-0.9994218245148658,0.0003,6.380690097808838,16.818240934610365,0.9117751121520996,-0.02361297602765262,,
48128,5.65,47,151,50.81256358000002,318,0.012230306,0.2,460,0.1109375,-0.9817657172679901,0.0003,3.8819620609283447,10.073022621870042,0.9407455325126648,-0.01877245695795864,,
49152,5.7,48,154,51.270972520000015,318,0.008893602,0.2,470,0.11484375,-0.8961012613028287,0.0003,7.317083358764648,14.262057667970657,0.9218893647193909,-0.020956494921119884,,
50000,,,,,,0.008496035,0.2,480,0.12490234375,-0.8412434473633766,0.0003,6.762212753295898,10.988644801080227,0.9424483180046082,-0.02138907458866015,53.0439583,4.8
50176,5.86,49,157,50.61938839000001,318,,,,,,,,,,,,
