#{"t_start": 1775311599.7773807, "env_id": "None"}
r,l,t
-14.432,20,31.632757
4.947,20,31.671783
-9.89,20,31.710189
-19.46,20,31.751036
-31.468333,20,31.789268
4.278667,20,31.826833
-9.792804,20,31.866158
-87.41,20,31.901939
5.225667,20,31.943631
15.51,5,31.956057
12.525,20,32.26903
-17.889368,10,32.28744
13.48,20,32.324625
-2.669,20,32.36501
15.6925,20,32.405464
-4.385263,20,32.443187
-8.622,20,32.48742
-2.787667,20,32.526845
-9.67,9,32.542736
-34.122579,20,32.582291
-20.818661,20,32.619863
8.348214,20,32.65941
8.688,20,32.697137
13.051833,20,32.731566
2.323333,20,32.773842
14.5035,20,32.810781
13.5575,20,32.848701
-11.35,20,32.890506
-1.867143,20,32.926324
6.835,20,32.967889
-14.497143,20,33.008122
-8.71,17,33.042407
7.161667,20,33.083407
-70.53,20,33.120975
-7.4,20,33.158145
-7.4,20,33.199595
-1.01,16,33.228857
-31.935263,20,33.265426
20.453667,20,33.307547
-73.046,16,33.337878
-1.907857,20,33.379793
9.957143,20,33.419689
-16.07,19,33.453794
6.974107,20,33.495108
6.634667,20,33.532349
-16.1675,17,33.567916
-70.228214,20,33.608001
1.756,20,33.646053
-16.746667,20,33.692445
-33.175211,20,33.731808
0.2625,20,33.772732
-39.822833,20,33.812342
25.062946,20,33.851278
-1.932321,20,33.892344
-3.606667,20,33.933447
13.833333,20,33.970833
9.293333,20,34.010955
-38.737316,20,34.050282
-20.526632,20,34.088264
4.75125,20,34.128214
11.025393,20,34.167426
5.054333,20,34.208691
-28.823,13,34.233831
-7.4,20,34.271042
-1.9,20,34.311492
-7.03,1,34.313437
2.663333,20,34.35176
-5.900211,15,34.380185
-22.371,20,34.419914
-2.635,20,34.459511
13.343036,20,34.498845
1.7,20,34.538923
0.49,17,34.571563
7.5375,20,34.611875
-7.69,3,34.618319
11.705857,20,34.658042
2.558857,20,34.695009
25.373214,20,34.737053
8.259568,20,34.774973
-7.03,1,34.776333
-1.365263,20,34.817609
-18.992667,20,34.856394
13.066667,20,34.895748
-8.097263,20,34.937217
5.992679,20,34.974844
-6.8,20,35.013998
18.833786,20,35.056609
3.1,20,35.099825
-7.4,20,35.141754
-18.243333,20,35.181355
-6.498,20,35.220705
17.632,3,35.228872
-7.4,20,35.268284
