time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
542,17,640,-12.235080520000002,17.05,9622,0.5429550000000002,0.0005,2280,4.337891578674316,,
542,17,644,-12.528641060000002,17.4,9697,0.5393925,0.0005,2299,3.403172016143799,,
542,17,648,-13.5503497,17.19,9756,0.5365900000000001,0.0005,2313,4.70751428604126,,
542,18,652,-13.399504660000002,16.98,9809,0.5340725,0.0005,2327,3.5447816848754883,,
542,18,656,-13.063475630000001,16.99,9874,0.530985,0.0005,2343,3.3570451736450195,,
542,18,660,-12.354857299999999,17.01,9941,0.5278025000000001,0.0005,2360,3.3959617614746094,,
,,,,,10000,0.5250474999999999,0.0005,2374,3.036015510559082,-15.2305952,20.0
533,18,664,-12.965919320000001,17.39,10021,0.5240024999999999,0.0005,2380,2.6029181480407715,,
533,18,668,-13.396724680000002,17.37,10099,0.5202975,0.0005,2399,2.6642417907714844,,
533,19,672,-13.733939150000001,17.63,10175,0.5166875,0.0005,2418,2.7388782501220703,,
533,19,676,-11.712644560000001,17.63,10255,0.5128874999999999,0.0005,2438,3.5510573387145996,,
534,19,680,-11.739910729999998,17.74,10335,0.5090875000000001,0.0005,2458,3.83457612991333,,
534,19,684,-9.806790479999998,17.46,10379,0.5069975,0.0005,2469,3.1791417598724365,,
534,19,688,-10.650012859999997,17.53,10434,0.5043850000000001,0.0005,2483,4.546632289886475,,
534,19,692,-9.94238664,17.61,10491,0.5016775,0.0005,2497,2.9667510986328125,,
534,19,696,-11.488624800000002,17.57,10562,0.4983050000000001,0.0005,2515,5.243677139282227,,
534,19,700,-10.901629779999999,17.3,10615,0.49578750000000027,0.0005,2528,3.012519359588623,,
534,19,704,-10.441955210000001,17.12,10677,0.49284249999999996,0.0005,2544,3.2806169986724854,,
534,20,708,-11.029492980000002,17.14,10744,0.4896600000000001,0.0005,2560,4.1461052894592285,,
